Relatório de palavras-chave da rede de pesquisa
Todo o período
Ação de conversão,Status da palavra-chave,Palavra-chave,Tipo de corresp.,Campanha,Grupo de anúncios,Status,Motivos do status,URL final,Código da moeda,CPM médio,Impr.,Interações,Taxa de interação,Custo médio,Custo,Cliques,Taxa de conv.,Conversões,CPC méd.,Custo / conv.
,,,Total: Pesquisar palavras-chave na Rede de Display,,,,,,USD,"16,44",237.720,2.517,"1,06%","1,55","3907,53",2.517,"0,00%","0,00","1,55","0,00"
Calls from ads,,,Total: Pesquisar palavras-chave na Rede de Display,,,,,,,0,0,0, --,0,0,0, --,"0,00",0,0
Sessão 45seg,,,Total: Pesquisar palavras-chave na Rede de Display,,,,,,,0,0,0, --,0,0,0, --,"0,00",0,0
Business profile - Tracked call,,,Total: Pesquisar palavras-chave na Rede de Display,,,,,,,0,0,0, --,0,0,0, --,"0,00",0,0
Agendamento | Site,,,Total: Pesquisar palavras-chave na Rede de Display,,,,,,,0,0,0, --,0,0,0, --,"0,00",0,0
Book Estimate,,,Total: Pesquisar palavras-chave na Rede de Display,,,,,,,0,0,0, --,0,0,0, --,"0,00",0,0
Business profile - Call,,,Total: Pesquisar palavras-chave na Rede de Display,,,,,,,0,0,0, --,0,0,0, --,"0,00",0,0
Calls from Smart Campaign Ads,,,Total: Pesquisar palavras-chave na Rede de Display,,,,,,,0,0,0, --,0,0,0, --,"0,00",0,0
Clique no Botão de Ligação,,,Total: Pesquisar palavras-chave na Rede de Display,,,,,,,0,0,0, --,0,0,0, --,"0,00",0,0
mikerenovations.com (web) generate_lead,,,Total: Pesquisar palavras-chave na Rede de Display,,,,,,,0,0,0, --,0,0,0, --,"0,00",0,0
Business profile - Form,,,Total: Pesquisar palavras-chave na Rede de Display,,,,,,,0,0,0, --,0,0,0, --,"0,00",0,0
Business profile - Form submit,,,Total: Pesquisar palavras-chave na Rede de Display,,,,,,,0,0,0, --,0,0,0, --,"0,00",0,0
Sessão 40seg,,,Total: Pesquisar palavras-chave na Rede de Display,,,,,,,0,0,0, --,0,0,0, --,"0,00",0,0
V4 - Envio de Formulário,,,Total: Pesquisar palavras-chave na Rede de Display,,,,,,,0,0,0, --,0,0,0, --,"0,00",0,0
Sessão 35seg,,,Total: Pesquisar palavras-chave na Rede de Display,,,,,,,0,0,0, --,0,0,0, --,"0,00",0,0
Envio de Formulário - Site,,,Total: Pesquisar palavras-chave na Rede de Display,,,,,,,0,0,0, --,0,0,0, --,"0,00",0,0
,,,Total: Conta,,,,,,USD,"128,99",571.038,13.779,"2,41%","5,35","73655,67",13.173,"1,23%","170,00","5,59","433,27"
Calls from Smart Campaign Ads,,,Total: Conta,,,,,,,0,0,0, --,0,0,0, --,"2,00",0,0
Envio de Formulário - Site,,,Total: Conta,,,,,,,0,0,0, --,0,0,0, --,"16,00",0,0
Clique no Botão de Ligação,,,Total: Conta,,,,,,,0,0,0, --,0,0,0, --,"15,00",0,0
Business profile - Tracked call,,,Total: Conta,,,,,,,0,0,0, --,0,0,0, --,"0,00",0,0
mikerenovations.com (web) generate_lead,,,Total: Conta,,,,,,,0,0,0, --,0,0,0, --,"0,00",0,0
Calls from ads,,,Total: Conta,,,,,,,0,0,0, --,0,0,0, --,"26,00",0,0
V4 - Envio de Formulário,,,Total: Conta,,,,,,,0,0,0, --,0,0,0, --,"51,00",0,0
